"","participant","context","cue","response","sq1","sq2","sq3","sq4","sq5","sq6","sq7","sq8","sq_resp","condition","trial_type","type_dur","cue_rt","square_rt","accuracy","correct","square_rt_mili","cue_rt_mili","type_dur_mili","strength_strat","type","counterbalance","block","trialNum","resp_iscue","prop_is_cue","Lg10WF","Lg10CD","aoa","sum_na","nchar","z_cue_rt_mili","z_type_dur_mili","nchar_lg10","wf_z","aoa_z","wl_z","cd_z"
"1","1","child","drown","water","1",0,0,1,0,0,0,1,"match","load","match",4.55928373336792,3.98578715324402,2.59329342842102,0.6875,TRUE,2593.29342842102,3985.78715324402,4559.28373336792,"high","co","1","1",1,FALSE,0,4.0599,3.6157,2.37,0,5,1.30197759643724,-0.052848580329638,0.698970004336019,0.783359710055299,-1.43600440567633,-0.214660687179126,0.814508240376974
"2","1","child","apostle","apocolypse","1",0,1,0,0,1,0,0,"match","load","match",4.8081750869751,4.17611122131348,2.49476289749146,0.6875,TRUE,2494.76289749146,4176.11122131348,4808.1750869751,"low","nonco","1","1",3,FALSE,0,NA,NA,NA,NA,10,1.47330470755484,0.0481799827308698,1,NA,NA,2.53367481225518,NA
"3","1","child","overdone","a lot","0",0,1,0,1,0,1,0,"match","load","mismatch",5.01475524902344,2.05784630775452,4.14981174468994,0.6875,FALSE,4149.81174468994,2057.84630775452,5014.75524902344,"low","nonco","1","1",4,FALSE,0,4.4634,3.8565,6.26,0,5,-0.433528263719161,0.132033827495161,0.698970004336019,1.24631055595773,0.308516846557075,-0.214660687179126,1.16008121417248
"4","1","child","cats","cuddly","0",1,1,0,0,0,1,0,"match","load","mismatch",3.84765410423279,2.45961093902588,2.40520763397217,0.6875,FALSE,2405.20763397217,2459.61093902588,3847.65410423279,"low","nonco","1","1",8,FALSE,0,1.8573,1.6628,NA,1,6,-0.0718652626959162,-0.341709233063583,0.778151250383644,-1.74376676623888,NA,0.335006412707736,-1.98810579834913
"5","1","child","reside","away","0",1,0,0,0,1,0,1,"match","load","mismatch",5.28165769577026,1.61988353729248,2.02178478240967,0.6875,FALSE,2021.78478240967,1619.88353729248,5281.65769577026,"high","nonco","1","1",9,FALSE,0,4.5714,3.8797,5.07,0,4,-0.827776332297329,0.240373351071877,0.602059991327962,1.37022305002827,-0.225154179190419,-0.764327787065989,1.19337562028567
"6","1","child","men","evil","0",0,1,1,0,1,0,0,"match","load","match",5.2005090713501,3.25159859657288,1.54401040077209,0.6875,TRUE,1544.01040077209,3251.59859657288,5200.5090713501,"low","co","1","1",10,FALSE,0,3.5719,3.2038,6.71,0,4,0.641071145109361,0.207433962858152,0.602059991327962,0.223458810921749,0.51032521763806,-0.764327787065989,0.223389021496702
"7","1","child","immigration","migrating","1",0,1,0,0,0,0,1,"mismatch","load","match",8.27183628082275,2.20097970962524,2.14068102836609,0.6875,FALSE,2140.68102836609,2200.97970962524,8271.83628082275,"low","nonco","1","1",11,FALSE,0,1.3424,1.2788,9.62,0,9,-0.304681541937249,1.45412964016718,0.954242509439325,-2.33453105509926,1.81535268396176,1.98400771236832,-2.53918562367087
"8","1","child","plaything","toy","0",0,0,1,0,0,1,1,"mismatch","load","mismatch",1.85372865200043,3.3655526638031,2.20211124420166,0.6875,TRUE,2202.11124420166,3365.5526638031,1853.72865200043,"high","co","1","1",12,FALSE,0,2.9345,2.7505,3,0,3,0.743651030757511,-1.15107211517778,0.477121254719662,-0.507854371676048,-1.15347268616295,-1.31399488695285,-0.427143491051071
"9","1","child","detest","argue","0",0,1,1,0,1,0,0,"match","load","match",4.78427076339722,2.01725292205811,1.73507833480835,0.6875,TRUE,1735.07833480835,2017.25292205811,4784.27076339722,"high","nonco","1","1",13,FALSE,0,3.0035,2.9112,4.61,0,5,-0.470069871790037,0.0384768756240704,0.698970004336019,-0.42868805601987,-0.431447180739871,-0.214660687179126,-0.19652232456877
"10","1","child","nemesis","enemy","0",1,0,1,1,0,0,0,"mismatch","load","mismatch",1.99653923511505,2.48018789291382,1.81244575977325,0.6875,TRUE,1812.44575977325,2480.18789291382,1996.53923511505,"high","nonco","1","1",14,FALSE,0,3.3936,3.0899,7.26,0,5,-0.0533421715231578,-1.09310325530057,0.698970004336019,0.0188884619145525,0.756979893403708,-0.214660687179126,0.0599307087254876
"11","1","child","vehicle","moving","0",1,0,1,1,0,0,0,"match","load","mismatch",2.44969892501831,1.38661694526672,3.43031358718872,0.6875,FALSE,3430.31358718872,1386.61694526672,2449.69892501831,"high","co","1","1",15,FALSE,0,3.7857,3.5213,4.62,0,6,-1.03775971347136,-0.909159250640088,0.778151250383644,0.468759655665095,-0.426962550271405,0.335006412707736,0.67903444998538
"12","1","child","decreasing","down","0",1,0,1,1,0,0,0,"mismatch","load","mismatch",1.83479392528534,1.62799453735352,2.18388032913208,0.6875,TRUE,2183.88032913208,1627.99453735352,1834.79392528534,"low","nonco","1","1",16,FALSE,0,4.8808,3.9118,4.93,0,4,-0.820474921483512,-1.15875799178315,0.602059991327962,1.72520939878221,-0.287939005748948,-0.764327787065989,1.23944244943366
"13","1","child","auditorium","big","1",0,0,1,0,1,0,0,"match","load","match",3.45345830917358,2.43180799484253,1.8668497800827,0.6875,TRUE,1866.8497800827,2431.80799484253,3453.45830917358,"low","co","1","1",17,FALSE,0,4.5419,3.8594,2.89,0,3,-0.0968930910510717,-0.501718948797546,0.477121254719662,1.33637658174049,-1.20280362131608,-1.31399488695285,1.16424301493663
"14","1","child","ponytail","rubber band","0",0,1,1,0,1,0,0,"match","load","match",3.88044166564941,2.14331030845642,2.94826650619507,0.6875,TRUE,2948.26650619507,2143.31030845642,3880.44166564941,"high","co","1","1",18,FALSE,0,NA,NA,NA,NA,11,-0.356594744520388,-0.328400292563352,1.04139268515823,NA,NA,3.08334191214205,NA
"15","1","child","reuse","again","0",0,1,0,0,0,1,1,"mismatch","load","mismatch",7.22550916671753,3.70935845375061,2.70179748535156,0.6875,TRUE,2701.79748535156,3709.35845375061,7225.50916671753,"high","co","1","1",19,FALSE,0,4.6067,3.895,5.78,0,5,1.05314027914682,1.02941048742338,0.698970004336019,1.41072407818281,0.0932545840706905,-0.214660687179126,1.21533270707583
"16","1","child","circulation","blood","0",0,1,0,1,1,0,0,"match","load","match",4.40674304962158,3.42494750022888,1.96625244617462,0.6875,TRUE,1966.25244617462,3424.94750022888,4406.74304962158,"high","co","1","1",20,FALSE,0,3.9774,3.5474,4.89,0,5,0.797117446452336,-0.114767027329942,0.698970004336019,0.688704332640303,-0.305877527622814,-0.214660687179126,0.716490656862717
"17","1","child","algorithm","fyp","1",0,0,0,0,1,1,0,"match","load","match",4.65986156463623,1.90463364124298,3.15149593353271,0.6875,TRUE,3151.49593353271,1904.63364124298,4659.86156463623,"high","nonco","1","1",22,FALSE,0,NA,NA,NA,NA,3,-0.571448201046619,-0.0120225989465443,0.477121254719662,NA,NA,-1.31399488695285,NA
"18","1","child","godliness","lord","0",0,1,0,1,0,0,1,"match","load","match",3.30024218559265,2.02252721786499,2.43966054916382,0.6875,TRUE,2439.66054916382,2022.52721786499,3300.24218559265,"low","nonco","1","1",24,FALSE,0,3.848,3.2999,5.95,0,4,-0.465322023170894,-0.563911566494958,0.602059991327962,0.540238807337268,0.169493302034618,-0.764327787065989,0.361302488198314
"19","1","child","pony","ponytail","0",0,1,1,0,1,0,0,"match","load","mismatch",7.9480938911438,1.22973263263702,3.49311447143555,0.6875,FALSE,3493.11447143555,1229.73263263702,7948.0938911438,"high","co","1","1",26,FALSE,0,1.716,1.5911,5.79,0,8,-1.17898481618779,1.32271797014725,0.903089986991944,-1.90588561264783,0.0977392145391567,1.43434061248146,-2.09100273448343
"20","1","child","countries","usa","0",1,0,0,1,0,0,1,"match","load","mismatch",7.64185523986816,1.57683825492859,2.8781156539917,0.6875,FALSE,2878.1156539917,1576.83825492859,7641.85523986816,"low","nonco","1","1",27,FALSE,0,2.3096,2.0792,NA,1,3,-0.866525104060423,1.19841131809378,0.477121254719662,-1.22482583042309,NA,-1.31399488695285,-1.39052861276587
"21","1","child","runner","fast","1",0,0,0,1,0,0,1,"match","load","match",5.09256601333618,1.30565571784973,1.6636598110199,0.6875,TRUE,1663.6598110199,1305.65571784973,5092.56601333618,"low","co","1","1",28,FALSE,0,3.8458,3.5808,3.74,0,4,-1.11063989802494,0.163618330513146,0.602059991327962,0.537714663939535,-0.821610031496443,-0.764327787065989,0.764423120836014
"22","1","child","residence","living","1",0,0,1,1,0,0,0,"match","load","match",5.01977300643921,1.94716227054596,3.32184839248657,0.6875,TRUE,3321.84839248657,1947.16227054596,5019.77300643921,"high","co","1","1",30,FALSE,0,3.9022,3.6137,6.1,0,6,-0.5331645132704,0.134070607054413,0.778151250383644,0.60242452195415,0.236762759061613,0.335006412707736,0.811638032953424
"23","1","child","roads","driving","0",0,0,1,1,0,1,0,"match","load","mismatch",5.14462471008301,3.06010103225708,3.68224811553955,0.6875,FALSE,3682.24811553955,3060.10103225708,5144.62471008301,"low","co","1","1",31,FALSE,0,3.5776,3.3551,5.26,0,7,0.46868766879406,0.184749700690977,0.845098040014257,0.229998636997694,-0.139946200289559,0.884673512594598,0.440520213088314
